Date,Name,Day,Observance,Observance Strategy
2018-01-01,New Year's Day,Monday,2018-01-01,actual_day
2018-02-16,Chinese New Year,Friday,2018-02-16,actual_day
2018-02-17,Chinese New Year,Saturday,2018-02-17,actual_day
2018-03-30,Good Friday,Friday,2018-03-30,actual_day
2018-05-01,Labour Day,Tuesday,2018-05-01,actual_day
2018-05-29,Vesak Day,Tuesday,2018-05-29,actual_day
2018-06-15,Hari Raya Puasa,Friday,2018-06-15,actual_day
2018-08-09,National Day,Thursday,2018-08-09,actual_day
2018-08-22,Hari Raya Haji,Wednesday,2018-08-22,actual_day
2018-11-06,Deepavali,Tuesday,2018-11-06,actual_day
2018-12-25,Christmas Day,Tuesday,2018-12-25,actual_day
